Force,Signal Name,Tag,Construct,Linguistic Surface,Boundary,Theoretical Anchor,Valence Applicability,Speaker State Applicability,Multi-Label Co-occurrence,Example 1,Example 2,Example 3
VALUE ELASTICITY FIELD,Price Perception,price_perception,"The consumer's subjective evaluation of where a price *feels* on a perceived scale — cheap, fair, premium, expensive, exorbitant — independent of explicit comparison. Reflects the internal reference price formed through category exposure (Monroe 1973; Winer 1986).","Descriptive characterisations of the price level: 'feels premium', 'seems reasonable', 'looks expensive', 'priced well', 'feels overpriced'.",Not Price Sensitivity (which is reactive to change). Not Value for Money (which is benefit-anchored judgment). Price Perception is the raw *feel* of the price tag in isolation.,Monroe (1973) reference price; Winer (1986) reference price models; Kahneman & Tversky (1979),"positive, negative, neutral",any,"Value for Money, Price Sensitivity, Price Acceptance","For what it offers, the price seems quite reasonable.",Honestly it feels like a premium price for a premium product.,The price tag feels steep for what is essentially a basic model.
VALUE ELASTICITY FIELD,Price Sensitivity,price_sensitivity,Conditional reactivity to small price changes or price thresholds — the consumer indicates their demand would change materially with modest price movement. Operationalises elasticity at the individual level (Tellis 1988 meta-analysis on price elasticity).,"Conditional change language: 'if it goes up by [X], I'm out', 'at this price yes, at $50 more no', 'price-sensitive shopper here', 'any more expensive and I walk'.",Not Price Shock (acute affective reaction). Not Price Resistance (active refusal at current level). Price Sensitivity is conditional and threshold-anchored.,Tellis (1988) price elasticity meta-analysis; Goldsmith et al. (2010) price sensitivity scale,"negative, neutral","prospective, active_user","Price Shock, Price Resistance, Discount Expectation","If the price goes up even by 5%, I'm out.","At this price yes, but a hundred bucks more and I'm walking.",Very price-sensitive in this category — every dollar matters.
VALUE ELASTICITY FIELD,Price Shock,price_shock,"Acute affective response to an unexpected price level — surprise, outrage, or sticker shock. Indicates a strong gap between expected and observed price, often disqualifying the brand from further consideration in the moment.","Exclamatory and reactive language: 'WHAT?!', 'are they serious?', 'no way that costs that much', 'how much?!', 'that is insane'.",Not Price Sensitivity (conditional). Not Price Resistance (which is reasoned refusal). Price Shock is the *initial emotional reaction*; resistance often follows after shock subsides.,Kahneman & Tversky (1979) Prospect Theory; Thaler (1985) transaction utility,negative,prospective,"Price Resistance, Price Sensitivity, Competitor Value Criticism",I was interested until I saw the price tag. That is INSANE.,"Wait, HOW much? You've got to be joking.",Holy hell that's expensive. Did not expect that number.
VALUE ELASTICITY FIELD,Price Resistance,price_resistance,Reasoned refusal to buy at the current price level despite favourable evaluation of the product. The consumer values the product but the price has crossed their willingness-to-pay threshold.,"Justification-paired refusal: 'love it but can't justify', 'great product, wrong price', 'won't pay that much for it', 'as good as it is, no'.",Not Price Shock (emotional). Not Price Sensitivity (conditional). Price Resistance is a *decision* made — refusal at the current level.,Adaval & Monroe (2002) reservation price; Wertenbroch & Skiera (2002) willingness-to-pay,negative,prospective,"Price Sensitivity, Discount Expectation, Value Evaluation Signals","I love it, but I simply cannot justify spending that much money.",Beautiful product. Won't be paying that for it though.,It's great but I refuse to pay over a thousand for this.
VALUE ELASTICITY FIELD,Price Acceptance,price_acceptance,"Reasoned acquiescence to a high price, often framed as 'you get what you pay for'. Indicates low elasticity for this consumer — they have rationalised the cost into their value frame.","Acceptance with justification: 'expensive but worth it', 'pricey for a reason', 'that's the cost of [quality]', 'I knew what I was signing up for'.",Not Value for Money (which is broader judgment of total worth). Price Acceptance specifically addresses *the price as given* and accepts it.,Rao & Monroe (1989) price-quality inference; Erickson & Johansson (1985),"positive, neutral","prospective, active_user","Value for Money, Cost Justification, Price Perception","It's expensive, but that's what you pay for this kind of quality.","Yeah it's pricey, but you get what you pay for. Worth it.",Knew it would cost a lot going in. Fine with that.
VALUE ELASTICITY FIELD,Value for Money,value_for_money,"Holistic, often gut-level assessment of whether the product's total benefit justifies its total cost. The most general value judgment, integrating functional, emotional, and symbolic worth (Zeithaml 1988 perceived value).","Total-value judgments: 'great value', 'best bang for buck', 'worth every penny', 'rip-off', 'good value', 'overpriced for what it is'.",Not Cost-Benefit Signals (which involve explicit ledger reasoning). Not ROI Perception (which frames as investment with future return). Value for Money is holistic gut judgment.,Zeithaml (1988) perceived value; Sweeney & Soutar (2001) PERVAL scale,"positive, negative","prospective, active_user","Cost-Benefit Signals, Price Acceptance, Feature Value Perception",Easily the best value for money in the market right now.,Honestly it's overpriced for what you actually get.,Worth every rupee. No regrets.
VALUE ELASTICITY FIELD,Feature Value Perception,feature_value_perception,The consumer's assessment of the worth of a *specific feature or component* relative to its contribution to the price. Useful for identifying which features carry the premium and which are perceived as filler.,"Feature-specific worth statements: 'the [feature] alone is worth it', 'paying extra just for [feature]', '[feature] is the only reason this is worth the price'.",Not Value for Money (holistic). Not Feature Superiority Claims (Competitive Energy — which is *comparative* against rivals). Feature Value Perception is brand-internal price attribution.,Bettman et al. (1998) attribute valuation; Hauser & Urban (1986) value priority,"positive, negative","prospective, active_user","Value for Money, Innovation Value, Performance Value",The AI features alone are why I'd pay this much.,Honestly the keyboard alone justifies the price.,Half of these features I don't use — they're padding the price.
VALUE ELASTICITY FIELD,Innovation Value,innovation_value,"Worth assigned specifically to *novel or unique* features that have no equivalent elsewhere in the market. Indicates willingness to pay a premium for innovation, a key driver of early-adopter behaviour (Rogers 1962).","Uniqueness-anchored value language: 'no one else does this', 'first of its kind', 'paying more because it's unique', 'cutting-edge', 'haven't seen this anywhere else'.","Not Feature Value Perception (which can be for any feature, novel or not). Not Performance Value (which is anchored in benchmarks, not novelty). Innovation Value is uniqueness-driven.",Rogers (1962) Diffusion of Innovations; Holak & Lehmann (1990) innovation attributes,positive,"prospective, active_user","Feature Value Perception, Product Launch Interest, Performance Value",Willing to pay more because no one else has this tech.,It's a first-of-its-kind feature — that's worth the premium.,This is the only brand offering this. Easy to justify the price.
VALUE ELASTICITY FIELD,Performance Value,performance_value,"Value assigned to measurable technical or performance benchmarks — speed, durability, capacity, efficiency. Reflects utilitarian dimension of perceived value (Sweeney & Soutar 2001).","Benchmark-anchored worth: 'the speed alone is worth it', 'pays for itself in performance', 'numbers don't lie — worth the cost'.",Not Innovation Value (uniqueness-driven). Not Performance Superiority (Competitive Energy — *comparative*). Performance Value is utility-per-cost.,Sweeney & Soutar (2001) PERVAL functional value; Holbrook (1999) consumer value,positive,"prospective, active_user","Feature Value Perception, Value for Money, ROI Perception",The speed alone makes it worth every penny.,"For raw performance per dollar, nothing comes close.",Benchmarks justify the price. End of debate.
VALUE ELASTICITY FIELD,Cost Justification,cost_justification,User-provided rationalisations for spending the money — explicit reasons the high cost is acceptable. Indicates active mental accounting and reduction of post-purchase cognitive dissonance (Festinger 1957).,"Reasoning-out-loud language: 'an investment in [domain]', 'tax-deductible', 'will pay for itself', 'cheaper than [alternative]', 'spread over [time]'.",Not Price Acceptance (general acquiescence). Not ROI Perception (which specifically frames as investment). Cost Justification provides explicit reasoning to overcome price resistance.,Festinger (1957) cognitive dissonance; Thaler (1985) mental accounting,positive,"prospective, active_user","ROI Perception, Price Acceptance, Cost-Benefit Signals","It's an investment in my career, so the price is fine.","Spread over 3 years of use, it's actually quite cheap per day.",I'll save more on coffee shop wifi by working from home — it pays for itself.
VALUE ELASTICITY FIELD,ROI Perception,roi_perception,"Framing of the purchase as an investment with quantifiable or temporal return. The consumer explicitly calculates payback period, savings generated, or revenue/productivity unlocked.","Return-framing: 'will pay for itself in [time]', 'saves me [amount/time] per [period]', 'recoup the cost in [duration]'.",Not Cost Justification (broader rationalisation). Not Performance Value (which is utility-anchored without explicit return calculus). ROI Perception requires a return frame.,Kahneman & Tversky (1984) prospect theory framing; Thaler (1985) transaction utility,positive,"prospective, active_user","Cost Justification, Performance Value, Cost-Benefit Signals",This machine will pay for itself within three months of use.,Saves me 2 hours a day — easy to see the return.,ROI on this is under a year if I keep using it daily.
VALUE ELASTICITY FIELD,Cost-Benefit Signals,cost_benefit_signals,"Explicit ledger-style reasoning weighing specific costs against specific benefits. Indicates deliberate analytical processing (Petty & Cacioppo's ELM central route, 1986).","Ledger-language: 'is the extra [cost] worth the [benefit]?', 'doing the maths', '[cost] in exchange for [benefit]'.",Not Value for Money (holistic gut). Not Trade-off Discussion (Choice Architecture — attribute substitution). Cost-Benefit Signals are explicit price-vs-benefit accounting.,Petty & Cacioppo (1986) ELM; Bettman et al. (1998) constructive choice,neutral,prospective,"Value Evaluation Signals, Cost Justification, Trade-off Discussion",Is the extra $200 actually worth the slightly better screen?,Doing the maths on whether the Pro version pays back the difference.,Sitting with a spreadsheet weighing the upgrade cost vs benefit.
VALUE ELASTICITY FIELD,Ownership Cost Discussion,ownership_cost_discussion,"Awareness and articulation of long-term or hidden costs of ownership — maintenance, accessories, subscriptions, repairs, energy. Reflects total-cost-of-ownership thinking, often a sign of experienced or analytical buyers.","Recurring-cost language: 'cost of ownership', 'filters add up', 'subscription on top', 'maintenance is expensive', 'hidden costs'.",Not Price Perception (initial price). Not Cost-Benefit Signals (one-time accounting). Ownership Cost Discussion is specifically about ongoing or hidden cost streams.,Ferrin & Plank (2002) total cost of ownership; Ellram (1995) TCO models,"negative, neutral","prospective, active_user","Cost-Benefit Signals, Value for Money, Reliability Concerns",The filters and maintenance add up to quite a bit over the years.,Sticker price is fine but the subscription on top is another story.,Total cost of ownership is way higher than the upfront cost suggests.
VALUE ELASTICITY FIELD,Discount Expectation,discount_expectation,"Assumption or anticipation that a sale, promotion, or discount will arrive — leading to deferred purchase. Indicates the consumer has internalised the brand's or category's promotion cadence (Krishna 1992 reference-price effects of promotions).","Sale-anticipation language: 'waiting for Black Friday', 'they always discount in [period]', 'never buy at full price', 'sale must be coming'.",Not Deal Sensitivity (which is response to *available* offers). Discount Expectation is prospective and condition-creating.,Krishna (1992) reference-price effects of promotions; Mela et al. (1997) long-term promo effects,"neutral, negative",prospective,"Purchase Delay Signals, Deal Sensitivity, Price Sensitivity",Waiting for the Black Friday deal before I commit.,They always discount during the festive season — I'll hold.,Never buy this brand at full price. Sale is coming.
VALUE ELASTICITY FIELD,Deal Sensitivity,deal_sensitivity,"Active response to currently available promotions, bundles, or limited offers. Indicates the promotion is materially shifting the perceived value equation.","Reactive deal language: 'this offer makes it a great deal', 'free accessories included', 'won't get this price again', 'pulling the trigger because of the sale'.",Not Discount Expectation (anticipatory). Not Bundle Value Perception (which is specifically about bundle worth). Deal Sensitivity is reactive to a *current* offer.,"Blattberg, Briesch & Fox (1995) promotions research; Chandon, Wansink & Laurent (2000)",positive,prospective,"Bundle Value Perception, Discount Expectation, Purchase Intent",The free accessories make this a much better deal than the standalone.,20% off plus free shipping — buying now.,This offer won't come around again. Pulling the trigger.
VALUE ELASTICITY FIELD,Bundle Value Perception,bundle_value_perception,Specific evaluation of the worth of a multi-item or package deal compared to its components. Reflects mental accounting (Thaler 1985) and the perceived premium of integrated offerings.,"Bundle-vs-piecemeal language: 'cheaper than buying separately', 'bundle is the way to go', 'set is better value', 'why would I buy them individually?'.",Not Deal Sensitivity (broader response to offers). Not Value for Money (holistic single-product). Bundle Value Perception is multi-item-versus-aggregate.,Thaler (1985) mental accounting; Stremersch & Tellis (2002) product bundling,"positive, negative",prospective,"Deal Sensitivity, Value for Money, Cost-Benefit Signals",Buying the set is way cheaper than buying them individually.,The bundle is honestly the smartest way to get into this ecosystem.,Bundle saves about 30% over à la carte — easy choice.
VALUE ELASTICITY FIELD,Upgrade Worthiness,upgrade_worthiness,Specific evaluation of whether moving from version N to version N+1 is justified by the improvement delta. Distinct from cross-brand evaluation; this is brand-internal generational comparison.,"Generational-jump language: 'is the Gen 3 really that much better than Gen 2?', 'worth upgrading from [old]?', 'enough improvement to justify the upgrade?'.",Not Upgrade Intent (Demand Gravity — which is the *decision* to upgrade). Upgrade Worthiness is the *evaluation* of whether to upgrade. Not Incremental Value Perception (broader).,Bayus (1991) product replacement; Okada (2001) trade-in research,"positive, negative",active_user,"Upgrade Intent, Incremental Value Perception, Cost-Benefit Signals",Is the Gen 4 really that much better than my Gen 3?,My current one works fine — don't see enough reason to upgrade yet.,Just three minor changes between versions. Not worth the upgrade money.
VALUE ELASTICITY FIELD,Incremental Value Perception,incremental_value_perception,"Evaluation of whether *small improvements* — across versions, tiers, or brands — justify their marginal cost. Captures diminishing returns sensitivity at the upper tail of the product line.","Marginal-improvement language: 'the minor speed boost isn't worth $100', 'tiny improvement, huge price jump', 'diminishing returns'.",Not Upgrade Worthiness (which is specifically generational). Incremental Value Perception applies broadly to tiers and small jumps within or across product lines.,Kahneman & Tversky (1979) Prospect Theory diminishing sensitivity; Thaler (1985),"negative, neutral","prospective, active_user","Upgrade Worthiness, Cost-Benefit Signals, Value for Money",The minor speed bump isn't worth an extra $100.,Diminishing returns at this tier — the jump from Pro to Max is just not worth it.,Tiny incremental gains for a massive price increase. Pass.
REINFORCEMENT STABILITY,Experience Satisfaction,experience_satisfaction,Post-purchase confirmation that the product met expectations. The base layer of Oliver's four-stage loyalty hierarchy (1980 expectancy-disconfirmation model). Necessary but not sufficient for higher loyalty layers.,"Confirmation language: 'happy with', 'satisfied', 'no complaints', 'works as advertised', 'does what it should'.",Not Delight Signals (which require *unexpected* positive surprise). Not Positive Experience Narratives (longer-form story). Experience Satisfaction is steady-state confirmation.,Oliver (1980) expectancy-disconfirmation; Oliver (1999) four-stage loyalty,positive,active_user,"Delight Signals, Product Reliability, Repurchase Intent",Been using it for a month and I'm very happy with it.,Honestly no complaints — does what it's supposed to do.,Solid product. Lived up to expectations.
REINFORCEMENT STABILITY,Delight Signals,delight_signals,Affective response to *unexpected* positive aspects of the experience that exceeded expectations. A stronger predictor of advocacy than satisfaction alone (Rust & Oliver 2000).,"Surprise markers + positive evaluation: 'didn't expect', 'pleasantly surprised', 'wow', 'blown away', 'far better than I thought', 'didn't think it would [positive outcome]'.",Not Experience Satisfaction (meets expectations). Not Positive Experience Narratives (which is the long-form story). Delight requires the *surprise* element.,Rust & Oliver (2000) delight vs satisfaction; Plutchik (1980) surprise as primary emotion,positive,active_user,"Experience Satisfaction, Positive Experience Narratives, Advocacy Signals",I didn't expect it to be this quiet — what a pleasant surprise.,Wow. Way better than I thought it would be.,Honestly blown away. Did not see that level of build quality coming.
REINFORCEMENT STABILITY,Positive Experience Narratives,positive_experience_narratives,"Detailed, story-form recounting of a positive product experience — typically multi-sentence with context, action, and outcome. Indicates strong memory encoding of the brand experience (Schank & Abelson 1995 narrative memory).","Story structure with setup-action-outcome: 'let me tell you about', 'so the other day', 'long story short', extended past-tense narration.",Not Experience Satisfaction (which is a *short* confirmation). Not Delight Signals (which can be brief). Narratives are extended and structured.,Schank & Abelson (1995) narrative memory; Escalas (2004) brand narrative transportation,positive,active_user,"Delight Signals, Advocacy Signals, Word-of-mouth Promotion",Let me tell you how this thing saved my project last night — I was up at 2am with a deadline...,"So I took it on a 3-week trip across India. Dropped twice, drenched once. Still works perfectly.","Long story short — power went out, this kept my home running for six hours. Worth every rupee."
REINFORCEMENT STABILITY,Product Reliability,product_reliability,"Reports of consistent, durable performance over time — evidence of the product holding up under real-world conditions. Foundational driver of trust and behavioural loyalty (Garbarino & Johnson 1999).","Durability and consistency reports: 'still works after [time]', 'never failed me', 'dropped it twice and still fine', 'rock solid', 'no issues in [duration]'.",Not Long-term Ownership Narratives (which is multi-year story-form). Not Experience Satisfaction (which is general happiness). Product Reliability is specifically about consistent function.,Garbarino & Johnson (1999) trust and loyalty; Selnes (1993) service quality and loyalty,positive,active_user,"Experience Satisfaction, Long-term Ownership Narratives, Brand Defense",Dropped it twice and it still works perfectly.,Three years in and not a single issue.,Rock solid — has never crashed or failed on me once.
REINFORCEMENT STABILITY,Repurchase Intent,repurchase_intent,Stated plan to buy from the same brand again at the next purchase occasion. Operationalises conative loyalty in Oliver's (1999) framework — commitment that has not yet translated into action.,"Future-tense same-brand language: 'will buy this brand again', 'sticking with them next time', 'when this one dies, getting another'.","Not Upgrade Loyalty (which is *upgrading* within brand, often action-completed). Not Purchase Intent (Demand Gravity — first-time or non-loyalty-anchored). Repurchase Intent is loyalty-anchored and prospective.",Oliver (1999) conative loyalty; Dick & Basu (1994) loyalty matrix,positive,active_user,"Upgrade Loyalty, Brand Advocacy, Experience Satisfaction","When this one finally dies, I'm definitely buying the same brand again.",Sticking with them for my next phone for sure.,Already planning my next purchase from them. Loyal customer.
REINFORCEMENT STABILITY,Upgrade Loyalty,upgrade_loyalty,Completed or imminent within-brand upgrade behaviour framed in loyalty terms — the consumer explicitly notes they are *staying with the brand* while moving up. Represents action loyalty (Oliver 1999 final stage).,"Upgrade + loyalty markers: 'traded my old [Brand] for the new [Brand]', 'always a [Brand] fan', 'stayed within the family', 'X generations deep with this brand'.","Not Upgrade Intent (Demand Gravity — prospective, not loyalty-framed). Not Repurchase Intent (future, brand-only). Upgrade Loyalty is completed within-brand action with loyalty self-identification.",Oliver (1999) action loyalty; Bayus (1991) upgrade behaviour,positive,active_user,"Repurchase Intent, Brand Advocacy, Identity Signals",Just traded in my old model for the new one. Always a fan.,Five generations deep with this brand. Why switch?,Upgraded within the family again. Wouldn't dream of going elsewhere.
REINFORCEMENT STABILITY,Habit Signals,habit_signals,"Indicators of non-deliberative, automatic, repeated use of the product without conscious decision-making each time. Operationalises behavioural habit formation (Wood & Neal 2007 habit theory).","Automaticity language: 'without thinking', 'on autopilot', 'first thing I do', 'don't even consider alternatives anymore', 'muscle memory'.","Not Brand Routine Behaviour (which is time/context-anchored — every Sunday, before bed). Habit Signals are about *non-deliberative use itself*, not its scheduling. Not Habitual Usage — that is consolidated under this signal in the refined library.",Wood & Neal (2007) habit theory; Verplanken & Aarts (1999) habit and behaviour,"positive, neutral",active_user,"Brand Routine Behaviour, Repurchase Intent, Ecosystem Lock-in",I don't even think about it anymore — it's just part of my routine.,Reach for it without thinking. Pure muscle memory at this point.,Don't consider alternatives anymore. Just use it on autopilot.
REINFORCEMENT STABILITY,Brand Routine Behaviour,brand_routine_behaviour,"Time-, context-, or schedule-anchored repeated interactions with the product. Distinguished from generic habit by specific temporal or situational triggers ('every morning', 'before bed', 'on Sundays').","Trigger + repetition language: 'every [time period]', 'as part of my [routine]', 'before I [activity]', 'always after [event]'.","Not Habit Signals (which are automaticity-anchored, not schedule-anchored). Brand Routine Behaviour requires a *named trigger*.","Wood, Quinn & Kashy (2002) habits in everyday life; Neal et al. (2012) habitual cues","positive, neutral",active_user,"Habit Signals, Experience Satisfaction",Every Sunday morning I use it to plan my week.,Part of my pre-bed routine for two years now.,Always run the cleaning mode every Saturday. Just how I do it.
REINFORCEMENT STABILITY,Ecosystem Lock-in,ecosystem_lock_in,"Recognition of switching costs created by integration with the brand's broader ecosystem of products, services, or data. Captures structural rather than emotional loyalty (Burnham, Frels & Mahajan 2003 switching costs).","Integration-as-barrier language: 'all my [data/files] are in their [service]', 'too invested in the ecosystem', 'switching would mean losing [X]', 'stuck with them because of [integration]'.","Not Ecosystem Advantage (Competitive Energy — which is comparative *praise* of integration). Ecosystem Lock-in describes *structural switching cost*, often neutral or grudging in tone.","Burnham, Frels & Mahajan (2003) switching cost typology; Shapiro & Varian (1999) lock-in","positive, negative, neutral",active_user,"Habit Signals, Migration Signals, Ecosystem Advantage",All my files are in their cloud — I'm stuck.,Too invested in the ecosystem to switch now even if I wanted to.,Honestly the only reason I haven't switched is the data migration nightmare.
REINFORCEMENT STABILITY,Long-term Ownership Narratives,long_term_ownership_narratives,"Multi-year, story-form accounts of ownership emphasising duration and continued function. Indicates both reliability evidence and high attachment (Belk 1988 extended self via possessions).","Multi-year ownership references: 'still using my [year] model', '[duration] and going strong', 'bought this in [year] and...'.",Not Product Reliability (which can be short-term consistency). Long-term Ownership Narratives specifically frame *multi-year* tenure and often carry identity-adjacent emotional weight.,Belk (1988) extended self; Fournier (1998) consumer-brand relationship duration,positive,active_user,"Product Reliability, Repurchase Intent, Identity Signals",My original unit from 2018 is still going strong today.,Ten years with the same model. Still works like day one.,Bought this in 2015 and it's outlasted three of my other gadgets.
REINFORCEMENT STABILITY,Brand Advocacy,brand_advocacy,"Active, self-initiated promotion of the brand to others — going beyond passive satisfaction to evangelism. Operationalised in Reichheld's (2003) NPS framework as the highest-value customer behaviour.","Promotion declarations: 'I tell everyone', 'always recommend', 'preaching about this brand', 'spreading the word'.","Not Brand Recommendation (which is a single, direct recommendation utterance). Not Word-of-mouth Promotion (which narrates *received* word-of-mouth). Brand Advocacy is self-reported active evangelism.",Reichheld (2003) NPS; Anderson (1998) WOM intensity,positive,active_user,"Brand Recommendation, Word-of-mouth Promotion, Repurchase Intent",I tell everyone I know to switch to this brand.,"Yeah, I'm that annoying friend who won't shut up about it.",Constantly preaching the gospel of this brand to anyone who'll listen.
REINFORCEMENT STABILITY,Brand Recommendation,brand_recommendation,"A direct, prescriptive utterance recommending the product to an audience. Single-act expression of advocacy rather than self-declaration of evangelism.","Prescriptive direct address: 'get this one', 'go with [Brand]', 'you should buy', 'do yourself a favour and get [Brand]'.",Not Brand Advocacy (which is *meta-declaration* about repeated advocacy). Brand Recommendation is the *act* of recommending in the current utterance.,Reichheld (2003) NPS; Westbrook (1987) post-purchase communication,positive,active_user,"Brand Advocacy, Word-of-mouth Promotion, Experience Satisfaction","If you're looking for a laptop in this range, get this one. Period.",Go with [Brand]. Don't even think about the others.,Just buy it. You won't regret it.
REINFORCEMENT STABILITY,Word-of-mouth Promotion,word_of_mouth_promotion,Narrated peer-to-peer transmission of brand information — either receiving or passing along — typically retrospective. Captures the organic information flow that fuels brand growth (Berger 2014 WOM research).,"Transmission narration: 'my friend recommended', 'heard about it from', 'told my brother about', 'someone at work mentioned'.",Not Brand Recommendation (which is the *act* of recommending). Not Brand Advocacy (which is self-reported evangelism). Word-of-mouth Promotion narrates *the transmission event*.,Berger (2014) WOM mechanisms; Brown & Reingen (1987) tie strength; Anderson (1998),"positive, neutral",any,"Brand Recommendation, Brand Discovery, Brand Advocacy",My neighbour recommended this to me and now I see why.,Heard about it from a colleague who swears by it.,"Told my brother about it last month, now he owns one too."
REINFORCEMENT STABILITY,Referral Behaviour,referral_behaviour,"Use of *formalised, codified* mechanisms for advocacy — referral codes, links, programs, affiliate schemes. Indicates the consumer has crossed from organic advocacy into structured promotion, often with mutual incentive.","Codified-advocacy language: 'use my referral code', 'link in bio', 'use my code for [discount]', 'sign up through me for'.",Not Brand Advocacy (organic). Not Brand Recommendation (uncodified). Referral Behaviour involves a *named instrument* of referral.,"Schmitt, Skiera & Van den Bulte (2011) referral programs; Verlegh et al. (2013)","positive, neutral",active_user,"Brand Advocacy, Brand Recommendation",Use my referral code RAJ20 for a discount on your first order.,Sign up through my link — we both get 10% off.,Drop a comment and I'll DM you my referral.
REINFORCEMENT STABILITY,Brand Defense,brand_defense,Active rebuttal of negative claims about the brand in social contexts. A behavioural marker of deep psychological investment in the brand (Cheng et al. 2012 brand defense research).,"Counter-criticism language: 'people are being unfair', 'that's not my experience', 'mine doesn't have that problem', 'the hate is overblown'.","Not Counter-argument Signals (which is presenting an *alternative perspective* on a complaint, more neutral). Brand Defense is active rebuttal *on behalf of the brand*.","Cheng, White & Chaplin (2012) brand defense; Bhattacharya & Sen (2003) identification",positive,active_user,"Counter-argument Signals, Brand Justification, Identity Signals",People are being so unfair — I've never had that issue with mine.,The hate online is way overblown. Actually a great product.,Don't believe the bad reviews. Mine has been flawless.
REINFORCEMENT STABILITY,Counter-argument Signals,counter_argument_signals,Providing a balanced or alternative perspective in response to a complaint — acknowledging the complaint while offering context or alternative framing. More neutral and less protective than Brand Defense.,"Concession + alternative framing: 'I see your point but', 'fair, but for most people', 'true, though [context]', 'understand that, however'.",Not Brand Defense (which is full rebuttal). Counter-argument Signals concede partially while reframing — a more measured advocacy posture.,O'Keefe (1999) two-sided messages and persuasion; Cialdini (1984) social proof framing,"positive, neutral",active_user,"Brand Defense, Brand Justification","I see your point, but for most people this isn't actually a problem.",Fair concern — though in my use case I've never hit that limit.,True for power users. For the average buyer it's totally fine.
REINFORCEMENT STABILITY,Brand Justification,brand_justification,Explaining *why* the brand is the right choice for the speaker personally — reasoning-out-loud about their continued loyalty. Indicates conscious commitment rather than habitual default.,"Reasoning for choice: 'I stick with them because', 'the reason I stay is', 'what keeps me with this brand is'.",Not Brand Defense (rebuttal). Not Cost Justification (which is specifically price-anchored). Brand Justification is broader self-explanation of loyalty.,Festinger (1957) cognitive dissonance reduction; Oliver (1999) affective loyalty,positive,active_user,"Repurchase Intent, Brand Advocacy, Identity Signals",I stick with them because their customer service is unmatched.,The reason I stay loyal is the build quality. Period.,What keeps me with this brand is honestly the consistency.
REINFORCEMENT STABILITY,Identity Signals,identity_signals,Statements where the brand expresses or extends the *individual's* sense of self. The consumer uses brand affiliation as a self-descriptor. Reflects identity-level fusion (Belk 1988 extended self; Escalas & Bettman 2005 brand-self connection).,"Self-identifying with brand: 'as a [Brand] person', 'I'm a [Brand] guy/girl', 'I am the kind of person who uses [Brand]'.",Not Community Identity (which is *group* membership). Not Brand Belonging (which is affective bond with the community). Identity Signals are *individual* self-categorisation.,Belk (1988) extended self; Escalas & Bettman (2005) brand-self connection; Aaker (1997) brand personality,positive,active_user,"Community Identity, Brand Belonging, Brand Advocacy","As a [Brand] user, I really appreciate the design aesthetic.",I'm a [Brand] guy through and through. Always have been.,Being a [Brand] customer is honestly part of who I am.
REINFORCEMENT STABILITY,Brand Belonging,brand_belonging,Affective emotional bond with the *community* of users around the brand. Distinct from identity because it is socially-anchored rather than self-anchored. Reflects communal brand affiliation (Muniz & O'Guinn 2001).,"Community-affect language: 'feel like they understand me', 'feel at home with these users', 'this is my crowd', 'finally found my people'.",Not Community Identity (explicit membership claim). Not Identity Signals (individual). Brand Belonging is affective bond *with the community*.,Muniz & O'Guinn (2001) brand community; Bagozzi & Dholakia (2006) consumer subcultures,positive,active_user,"Community Identity, Identity Signals, Tribe Language",I feel like they really understand people like me.,Finally found my crowd in the user community.,Honestly this community feels like home.
REINFORCEMENT STABILITY,Community Identity,community_identity,Explicit reference to membership in the brand's user community — declarations of being part of the group. Distinguished from Brand Belonging by being an explicit membership claim rather than affective resonance.,"Membership declarations: 'part of the [Brand] community', 'fellow [Brand] users', 'one of us', 'member of [Brand] tribe'.","Not Brand Belonging (affect). Not Tribe Language (which is *evidence* of membership through jargon, not declaration). Community Identity is explicit membership statement.","Muniz & O'Guinn (2001) brand community markers; Schau, Muniz & Arnould (2009) communities",positive,active_user,"Brand Belonging, Tribe Language, Identity Signals",Proud to be part of the [Brand] community.,Fellow [Brand] users will get what I mean here.,Joined the user forum last year — best community I've been part of.
REINFORCEMENT STABILITY,Tribe Language,tribe_language,"The use of in-group jargon, slang, or shorthand specific to the brand's user base — evidence of community membership through linguistic markers rather than explicit declaration. A behavioural indicator of identity fusion.","In-group vocabulary, model nicknames, internal abbreviations, references that only existing users would understand, parenthetical 'fellow users know' tags.","Not Community Identity (which is explicit declaration). Tribe Language is *linguistic surface evidence* of community membership — the speaker may not be explicitly identifying as a member, but their vocabulary does.",Muniz & O'Guinn (2001) brand community markers; Kozinets (2001) Star Trek tribe research,"positive, neutral",active_user,"Community Identity, Brand Belonging, Identity Signals",Just finished my daily sync — fellow users know what I mean.,Running it on Pro tier with the usual mods. IYKYK.,Switched to the build everyone's been raving about in the subreddit.
